REGION,Key,Area,CENSUS_2010_TOTAL_POPULATION,CENSUS_2010_STATE_DENSITY,CENSUS_2010_RANK,2020_STATE_DENSITY,STATE_LAND_AREA,Major_City_CBSA_Title,CBSA Code,CBSA_Major_City_Population_2010,CBSA_Major_City_max_weighted_density,CBSA_Major_City_mean_pop_density,Covid_Positive,Covid_Negative,Covid_Pending,Covid_Hospitalized,Covid_Death,Covid_Total,Last_Covid_Update,FLUVIEW_TOTAL_INFLUENZA_DEATHS_Season_2018,FLUVIEW_TOTAL_PNEUMONIA_DEATHS_Season_2018,Kaiser_Total_Hospital_Beds,Kaiser_Beds_per_1000_Population,Kaiser_Total_CHCs,Kaiser_CHC_Service_Delivery_Sites,BRFSS_Asthma_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Asthma,BRFSS_Age_55_64_Asthma_Rate,BRFSS_Age_65_plus_Asthma_Rate,BRFSS_COPD_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Lung_Disease,BRFSS_Age_55_64_COPD_Rate,BRFSS_Age_65_plus_COPD_Rate,BRFSS_Heart_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Heart_Disease,BRFSS_Age_55_64_Heart_Disease_Rate,BRFSS_Age_65_plus_Heart_Disease_Rate,BRFSS_2017_High_Cholestoral_Prevalance,BRFSS_2017_High_Blood_Pressure_Prevalance,BRFSS_Diabetes_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Metabolic_Disorders,BRFSS_Age_55_64_Diabetes_Rate,BRFSS_Age_65_plus_Diabetes_Rate,BRFSS_Obesity BMI Prevalance,Fluview_US_FLU_Hospitalization_Rate_Obesity,BRFSS_Age_55_64_Obesity_Rate,BRFSS_Age_65_plus_Obesity_Rate,BRFSS_Kidney_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Kidney_Disease,BRFSS_Age_55_64_Kidney_Disease_Rate,BRFSS_Age_65_plus__Kidney_Disease_Rate,BRFSS_Other_Cancer_Prevalance,BRFSS_55_64_Other_Cancer_Rate,BRFSS_65_plus_Other_Cancer_Rate,Census_Population_Over_60,Census_Population_Over_60_Employment_Rate,Census_Total_Population_Over_16_Estimate,Census_Total_Workers_Over_16_Estimate,COMMUTE_Census_Worker_Drive_To_Work_Rate,COMMUTE_Census_Worker_Carpool_To_Work_Rate,COMMUTE_Census_Worker_Public_Transportation_Rate,COMMUTE_Census_Worker_Walk_Rate,COMMUTE_Census_Worker_Taxicab_Motorcycle_Bicycle_Other_Rate,COMMUTE_Census_Work_At_Home_Rate
Michigan,23,Midwest,9883640,174.8,19,178,56539,"Detroit-Warren-Livonia, MI Metro Area",19820,4296250,3800.4,2051.766667,7615,11893,NA,NA,259,19508,3/31/20 11:00,238,5350,24949,2.5,38,302,0.112,0.194,0.01232,0.009856,0.086,0.295,0.012298,0.012126,0.05,0.513,0.00345,0.0066,0.351,0.347,0.117,0.448,0.021762,0.027144,0.33,0.361,0.12441,0.10659,0.035,0.216,0.001715,0.00266,0.077,0.008393,0.014322,2421416,0.25,7986376,4611616,0.82,0.09,0.01,0.02,0.01,0.04
Minnesota,24,Midwest,5303925,66.6,33,72,79627,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",33460,3279833,3383.4,1900.84,629,19151,NA,112,12,19780,3/31/20 0:00,94,2764,13895,2.48,16,87,0.083,0.194,0.00747,0.005893,0.044,0.295,0.002684,0.004048,0.034,0.513,0.0017,0.003366,0.29,0.266,0.089,0.448,0.011125,0.017266,0.301,0.361,0.100534,0.0903,0.024,0.216,0.000624,0.001368,0.064,0.005376,0.01056,1243961,0.31,4395381,2920543,0.78,0.08,0.04,0.03,0.02,0.06
Mississippi,25,South,2967297,63.2,34,64,46923,"Jackson, MS Metro Area",27140,539057,1277.9,1015.25,937,3537,NA,211,20,4474,3/30/20 19:00,48,2227,12071,4.05,20,227,0.097,0.194,0.010088,0.010476,0.097,0.295,0.01552,0.016005,0.053,0.513,0.004611,0.006784,0.377,0.408,0.144,0.448,0.032112,0.044784,0.395,0.361,0.17459,0.12956,0.025,0.216,0.000975,0.001275,0.071,0.007881,0.011289,667073,0.24,2296728,1207063,0.86,0.09,0,0.01,0.01,0.03
Missouri,26,Midwest,5988927,87.1,30,90,68742,"Lansing-East Lansing, MI Metro Area",29620,464036,3222.2,1800.055556,1327,14614,NA,NA,14,15941,3/31/20 15:00,132,3392,18749,3.06,29,270,0.094,0.194,0.010434,0.007144,0.091,0.295,0.011739,0.013559,0.051,0.513,0.003774,0.006222,0.343,0.32,0.115,0.448,0.018745,0.026565,0.35,0.361,0.1323,0.10955,0.025,0.216,0.000875,0.001475,0.073,0.006351,0.012775,1448367,0.27,4797181,2873163,0.82,0.09,0.01,0.02,0.01,0.05
Montana,27,West,989415,6.8,50,7,145546,"Kansas City, MO-KS Metro Area",28140,2035334,2326.1,1599.383333,184,4234,NA,14,4,4418,3/31/20 10:00,36,510,3542,3.34,14,65,0.1,0.194,0.01,0.0075,0.06,0.295,0.00612,0.00684,0.042,0.513,0.00273,0.004326,0.289,0.29,0.094,0.448,0.011374,0.017202,0.269,0.361,0.090384,0.064829,0.02,0.216,0.00052,8.00E-04,0.079,0.008611,0.014141,279971,0.31,843546,511597,0.75,0.09,0.01,0.06,0.02,0.07
Nebraska,28,Midwest,1826341,23.8,45,25,76824,"Lincoln, NE Metro Area",30700,302157,3748,3748,172,2931,8,NA,3,3111,3/31/20 14:00,87,1119,6842,3.55,7,45,0.089,0.194,0.008455,0.007209,0.063,0.295,0.00567,0.008127,0.038,0.513,0.00209,0.00418,0.319,0.306,0.097,0.448,0.016005,0.019594,0.341,0.361,0.142879,0.110484,0.027,0.216,0.001161,0.001431,0.071,0.006745,0.012496,423109,0.35,1477589,980815,0.82,0.09,0.01,0.03,0.01,0.05
Nevada,29,West,2700551,24.6,44,29,109781,"Las Vegas-Paradise, NV Metro Area",29820,1951269,6527.2,4166.35,1113,10681,NA,NA,17,11794,3/31/20 9:30,43,1456,6493,2.14,7,45,0.08,0.194,0.00904,0.00496,0.073,0.295,0.007592,0.011242,0.043,0.513,0.002709,0.004644,0.331,0.327,0.108,0.448,0.014688,0.027108,0.295,0.361,0.092335,0.082895,0.04,0.216,0.00252,0.00364,0.064,0.005696,0.011008,661507,0.27,2385543,1418382,0.78,0.11,0.03,0.02,0.02,0.04
New Hampshire,30,Northeast,1316470,147,23,153,8953,"Manchester-Nashua, NH Metro Area",31700,400721,2855.8,2855.8,314,5413,65,45,3,5792,3/30/20 9:00,47,704,2783,2.06,10,43,0.118,0.194,0.012272,0.009558,0.08,0.295,0.00872,0.01048,0.038,0.513,0.0019,0.00399,0.329,0.3,0.103,0.448,0.01442,0.019776,0.296,0.361,0.088504,0.083768,0.025,0.216,0.00075,0.0013,0.079,0.008137,0.013983,346662,0.34,1112869,712442,0.81,0.07,0.01,0.03,0.02,0.07
New Jersey,31,Northeast,8791894,1195.5,2,1215,7354,"Trenton-Ewing, NJ Metro Area",45940,366513,5864.6,3422.88,18696,27077,NA,NA,267,45773,3/31/20 13:00,146,3951,20901,2.35,23,129,0.084,0.194,0.008316,0.006384,0.056,0.295,0.005432,0.005936,0.037,0.513,0.002072,0.003293,0.346,0.33,0.108,0.448,0.01674,0.027648,0.257,0.361,0.081726,0.066306,0.031,0.216,0.001581,0.001767,0.071,0.006532,0.013561,2022272,0.33,7080172,4386693,0.71,0.08,0.12,0.03,0.02,0.05
New Mexico,32,West,2059179,17,47,17,121298,"Albuquerque, NM Metro Area",10740,887077,3518.6,1975.7,281,12246,NA,22,4,12527,3/31/20 0:00,63,1050,3811,1.82,17,212,0.099,0.194,0.010989,0.011286,0.063,0.295,0.006741,0.008064,0.034,0.513,0.00187,0.003026,0.314,0.305,0.125,0.448,0.0225,0.0295,0.323,0.361,0.109174,0.080427,0.03,0.216,0.00147,0.00186,0.064,0.005312,0.00928,504653,0.24,1639138,865888,0.79,0.11,0.01,0.02,0.02,0.05
New York,33,Northeast,19378102,411.2,9,413,47126,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",35620,18897109,31251.4,4815.95,75795,129391,NA,15904,1550,205186,3/29/20 9:16,280,7895,51927,2.66,62,760,0.101,0.194,0.009797,0.009595,0.058,0.295,0.005278,0.00638,0.038,0.513,0.001862,0.00399,0.326,0.294,0.11,0.448,0.01969,0.02651,0.276,0.361,0.08556,0.07452,0.027,0.216,0.000972,0.001458,0.068,0.006528,0.012036,4480458,0.29,15709161,9287627,0.53,0.06,0.28,0.06,0.02,0.05
North Carolina,34,South,9535483,196.1,17,218,148618,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",16740,1758038,1881.3,1223.171429,1498,21608,NA,157,8,23106,3/31/20 9:05,272,5566,21549,2.08,40,264,0.094,0.194,0.01034,0.00799,0.081,0.295,0.011421,0.011502,0.057,0.513,0.004674,0.009063,0.355,0.348,0.125,0.448,0.024375,0.03225,0.33,0.361,0.13299,0.09108,0.032,0.216,0.001472,0.002336,0.07,0.00644,0.01204,2353499,0.27,8154786,4768759,0.81,0.09,0.01,0.02,0.01,0.06
North Dakota,35,Midwest,672591,9.7,49,11,69001,"Fargo, ND-MN Metro Area",22020,208777,2770.1,2205.5,126,4131,NA,21,3,4257,3/31/20 18:00,20,460,3235,4.27,4,26,0.082,0.194,0.007052,0.00656,0.051,0.295,0.003876,0.005253,0.043,0.513,0.002752,0.005805,0.311,0.295,0.094,0.448,0.014382,0.020962,0.351,0.361,0.130923,0.120393,0.025,0.216,7.00E-04,0.00195,0.067,0.006231,0.011859,162220,0.32,585782,392429,0.82,0.09,0.01,0.03,0.01,0.04
